base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.044,0.892,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,136,F16,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.043,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,237,J21,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.043,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,276,L12,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.003,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,323,N11,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.881,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,52,C4,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.051,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,198,I6,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.043,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,189,H21,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.002,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,207,I15,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.896,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,38,B14,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.271,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,64,C16,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.082,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,12,A12,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.048,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,130,F10,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.067,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,34,B10,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.977,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,297,M9,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,1.176,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,144,F24,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,176,H8,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.956,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,188,H20,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.041,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,295,M7,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,1.145,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,48,B24,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.043,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,240,J24,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.971,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,341,O5,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.045,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,382,P22,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,131,F11,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.785,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,347,O11,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.992,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,228,J12,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.047,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,242,K2,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,1.103,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,118,E22,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.049,0.044,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,162,G18,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.261,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,111,E15,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.084,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,223,J7,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.074,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,175,H7,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.047,0.045,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,377,P17,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.044,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,271,L7,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.973,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,354,O18,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,78,D6,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.131,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,168,G24,6,True,False,S. mutans UA159,aerobic
