base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.042,1.374,Plate 11$fa084b1f661da645d01f4c169cf00ecab2d5b100,279,L15,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.769,Plate 12$8cd9f044578ee1b5ee7d54586455669ee5f6d18c,101,E5,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.042,Plate 12$8cd9f044578ee1b5ee7d54586455669ee5f6d18c,182,H14,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.043,Plate 13$015f993478fc7458d8b52f0e9179bf3bf7055713,25,B1,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.679,Plate 13$015f993478fc7458d8b52f0e9179bf3bf7055713,36,B12,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.803,Plate 14$b76a119e71c80cbd0bdb9cbcfe91d7ac3ee16a95,282,L18,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.07,Plate 14$b76a119e71c80cbd0bdb9cbcfe91d7ac3ee16a95,289,M1,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,1.238,Plate 15$5c830e9a1ca54f378eb22eed9f904ac5cd7db011,237,J21,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.097,Plate 15$5c830e9a1ca54f378eb22eed9f904ac5cd7db011,347,O11,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.939,Plate 16$391b6d59ed91603e586f2d94ed2087040e728d96,63,C15,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.044,0.059,Plate 16$391b6d59ed91603e586f2d94ed2087040e728d96,333,N21,3,False,True,S. mutans UA159,anaerobic
