ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,aerobic,S. gordonii CH1,0.007883765003158561
0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,aerobic,S. gordonii CH1,0.001909662361085322
0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,aerobic,S. gordonii CH1,0.0017427506414290572
0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,aerobic,S. gordonii CH1,0.005068503999366437
0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,aerobic,S. gordonii CH1,0.007773569862467608
0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,aerobic,S. gordonii CH1,0.0018927444794952656
0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,aerobic,S. gordonii CH1,0.003580664412174262
0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,aerobic,S. gordonii CH1,0.0012641226198941307
0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,aerobic,S. gordonii CH1,0.035649546827794566
0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,aerobic,S. gordonii CH1,0.002387109608116171
0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,aerobic,S. gordonii CH1,0.0012641226198941264
0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,aerobic,S. gordonii CH1,0.0012084592145015075
0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,aerobic,S. gordonii CH1,0.0012607359546135022
0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,aerobic,S. gordonii CH1,0.001212886923562852
0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,aerobic,S. gordonii CH1,0.003182770601808877
0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,aerobic,S. gordonii CH1,0.0005809168804763524
0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,aerobic,S. gordonii CH1,0.0025342519996832207
0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,aerobic,S. gordonii CH1,0.00189274447949527
0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,aerobic,S. gordonii CH1,0.0017939007374925269
0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,aerobic,S. gordonii CH1,0.0018911039319202557
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,aerobic,S. gordonii CH1,0.0018193303853442843
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,aerobic,S. gordonii CH1,0.0006365541203617755
0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,aerobic,S. gordonii CH1,0.0023236675219054097
0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,aerobic,S. gordonii CH1,0.0025342519996832164
0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,aerobic,S. gordonii CH1,0.0017939007374925269
0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,aerobic,S. gordonii CH1,0.003154574132492112
0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,aerobic,S. gordonii CH1,0.0029838870101452143
0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,aerobic,S. gordonii CH1,0.0012731082407235464
0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,aerobic,S. gordonii CH1,0.006390085685239872
0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,aerobic,S. gordonii CH1,0.0025342519996832207
0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,aerobic,S. gordonii CH1,0.0017939007374925227
0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,aerobic,S. gordonii CH1,0.002523659305993689
0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,aerobic,S. gordonii CH1,0.0011935548040580874
0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,aerobic,S. gordonii CH1,0.8836217113059965
0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,aerobic,S. gordonii CH1,0.009063444108761328
0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,aerobic,S. gordonii CH1,0.09518556457331968
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,aerobic,S. gordonii CH1,0.005457991156032849
0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,aerobic,S. gordonii CH1,0.001896183929841196
0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,aerobic,S. gordonii CH1,0.0018126888217522633
0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,aerobic,S. gordonii CH1,0.0031518398865337622
0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,aerobic,S. gordonii CH1,0.0048515476942514206
0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,aerobic,S. gordonii CH1,0.005092432962894199
0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,aerobic,S. gordonii CH1,0.0017427506414290572
0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,aerobic,S. gordonii CH1,0.00695267440941771
0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,aerobic,S. gordonii CH1,0.0036253776435045348
0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,aerobic,S. gordonii CH1,0.001212886923562852
0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,aerobic,S. gordonii CH1,0.0012607359546135022
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,aerobic,S. gordonii CH1,0.001267125999841606
0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,aerobic,S. gordonii CH1,0.0017939007374925269
