ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1.0
0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1.0
0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.9154918162559089
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.5568965380434351
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1.0
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1.0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0.9678921568627448
0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0.7897262471261295
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1.0
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1.0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1.0
0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1.0
0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1.0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.048735588405659114
0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0.6659937548479485
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0
0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1.0
0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1.0
0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1.0
0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1.0
