ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,anaerobic,0.04027386226339106
0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,anaerobic,0.26661296818364877
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,anaerobic,0.9964884900507218
0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.09537348151977255
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.046400693842150904
0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,anaerobic,0.08426692644909888
0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,anaerobic,1.0
0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,anaerobic,0.3624647603705196
0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,anaerobic,0.26791089704996995
0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,anaerobic,0.052900401313389266
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,anaerobic,0.7053093034583535
0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,anaerobic,0.7285342584562011
0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,anaerobic,0.16774360299819077
0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,anaerobic,1.0
0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,anaerobic,0.96527506827936
0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,anaerobic,0.30318091451292245
0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,anaerobic,0.04627374573794448
0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,anaerobic,0.6872366044551476
0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,anaerobic,0.5484569572279371
0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,anaerobic,0.25453080950463153
0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,anaerobic,0.8043347381095726
0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,anaerobic,0.974461875228019
