ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,aerobic,0.009335324869305456
1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,aerobic,0.0
1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,aerobic,0.25974647213585267
1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,aerobic,2.4870587469201535e-18
1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,aerobic,1.0
1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,aerobic,0.010818608005769925
1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,aerobic,0.06953405017921147
1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,aerobic,0.0070570756468986045
1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,aerobic,0.002152595072949057
1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,aerobic,0.14376400298730393
1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,aerobic,0.21228041372516826
1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,aerobic,0.9206591727600132
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.0029729134551860796
1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,aerobic,0.005017921146953405
1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,aerobic,0.0
1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,aerobic,0.028352280509519247
1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,aerobic,1.0
1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,aerobic,1.0
1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,aerobic,0.0
1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,aerobic,0.00224047796863331
1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,aerobic,0.01526842882942046
1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,aerobic,0.8640183346065698
1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,aerobic,0.5922704250165161
1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,aerobic,1.0
1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,aerobic,1.0
1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,aerobic,0.0033428253064256533
1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,aerobic,0.024243254348719354
1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,aerobic,0.4809301181102362
1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,aerobic,0.7946087525919456
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,aerobic,0.0
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,aerobic,0.005910359546872437
1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,aerobic,0.05115758028379387
1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,aerobic,1.0
1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,aerobic,0.7202881152460984
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,aerobic,0.014203919841444621
1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,aerobic,0.015053763440860207
1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,aerobic,0.1664155595123956
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,aerobic,0.21853588171655253
1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,aerobic,1.0
1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,aerobic,0.3654035433070867
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,aerobic,0.0
1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,aerobic,0.0055658627087198514
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,aerobic,0.0
1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,aerobic,1.0
1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,aerobic,0.9114918694750628
1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,aerobic,1.0
1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,aerobic,1.0
1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,aerobic,0.714749368914533
1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,aerobic,0.0
1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,aerobic,0.005905511811023623
1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,aerobic,0.9174198340968179
1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,aerobic,0.009327911982779245
1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,aerobic,0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,aerobic,0.0
1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,aerobic,0.014534243558687513
